Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
568000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
579000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
580000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
630000,00000065,false,Rx,0,8,47,02,01,00,00,00,00,00,
669000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
770000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
780000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
780000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
780000,00000065,false,Rx,0,8,47,02,01,00,00,00,00,00,
869000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
929000,00000065,false,Rx,0,8,47,02,01,00,00,00,00,00,
969000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
979000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
69000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
79000,00000065,false,Rx,0,8,47,02,01,00,00,00,00,00,
169000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
179000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
179000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
179000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
179000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
269000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
370000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
379000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
379000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
470000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
569000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
579000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
579000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
579000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
580000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
669000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
768000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
778000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
778000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
778000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
779000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
869000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
969000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
980000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
69000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
169000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
269000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
369000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
379000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
379000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
379000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
379000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
470000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000010A,false,Rx,0,6,10,00,00,27,10,01,00,00,
518000,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
519000,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
519000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
0,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
0,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
521000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
521000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
521000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
522000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
522000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
522000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
522000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
523000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
569000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
579000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
579000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
579000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
579000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
658000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
669000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
0,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
670000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
670000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
670000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
671000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
671000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
671000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
672000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
672000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
672000,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
672000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
673000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
673000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
768000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
778000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
779000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
779000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
779000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
809000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
818000,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
818000,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
819000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
819000,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
819000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
820000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
820000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
820000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
820000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
821000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
821000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
0,0000006C,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
822000,0000006D,false,Rx,0,8,12,00,00,00,00,00,00,F0,
823000,0000010A,false,Rx,0,6,10,00,01,20,10,01,00,00,
869000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
959000,00000066,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,0000005C,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
0,0000005D,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
970000,0000005E,false,Rx,0,8,00,00,00,00,00,00,00,00,
970000,0000005F,false,Rx,0,8,1E,00,1E,00,00,00,00,00,
970000,00000060,false,Rx,0,8,00,00,00,00,00,00,FE,FF,
971000,00000061,false,Rx,0,8,00,00,00,00,00,00,00,00,
971000,00000062,false,Rx,0,8,12,00,00,00,00,00,00,F1,
971000,00000063,false,Rx,0,8,32,01,00,00,00,00,00,00,
971000,00000064,false,Rx,0,8,3C,00,05,00,C8,00,FF,03,
972000,00000067,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
972000,00000068,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
972000,00000069,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
973000,0000006A,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
973000,0000006B,false,Rx,0,8,BE,3E,27,00,01,1E,00,00,
