Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
163000,00000625,false,Rx,0,8,25,10,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
262000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
363000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
394000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
462000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
562000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
662000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
763000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
833000,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
833000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
834000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
863000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
963000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
54000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
54000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
54000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
63000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
163000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
262000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
273000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
273000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
274000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
362000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
462000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
493000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
493000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
494000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
562000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
663000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
762000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
863000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
963000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
62000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
154000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
154000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
154000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
162000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
262000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
363000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
373000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
373000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
374000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
463000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
562000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
593000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
593000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
594000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
663000,00000625,false,Rx,0,8,25,10,59,86,01,54,5C,06,
763000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
814000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
814000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
