Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
465000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
476000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
476000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
476000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
476000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
498000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
509000,000002C4,false,Rx,0,8,02,00,00,00,25,02,00,00,
509000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
509000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
545000,00000065,false,Rx,0,8,58,02,01,00,00,00,00,00,
565000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
597000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
665000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
675000,00000054,false,Rx,0,8,00,00,FE,FF,59,02,00,00,
675000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
676000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
676000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
696000,00000065,false,Rx,0,8,58,02,01,00,00,00,00,00,
698000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,26,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
729000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
766000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
797000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
845000,00000065,false,Rx,0,8,58,02,01,00,00,00,00,00,
866000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
875000,00000054,false,Rx,0,8,00,00,FE,FF,59,02,00,00,
875000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
876000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
876000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
897000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,26,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
966000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
996000,00000065,false,Rx,0,8,58,02,01,00,00,00,00,00,
998000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
66000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
75000,00000054,false,Rx,0,8,00,00,FE,FF,59,02,00,00,
76000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
76000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
76000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
97000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
