Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
489000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
500000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
501000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
520000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,26,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
532000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
560000,00000065,false,Rx,0,8,61,02,01,00,00,00,00,00,
589000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
620000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
689000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
699000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
700000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
710000,00000065,false,Rx,0,8,61,02,01,00,00,00,00,00,
720000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
751000,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
751000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
752000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
789000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
820000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
860000,00000065,false,Rx,0,8,61,02,01,00,00,00,00,00,
890000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
900000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
900000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
920000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
971000,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
971000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
971000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
989000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
9000,00000065,false,Rx,0,8,61,02,01,00,00,00,00,00,
20000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
90000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
121000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
190000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,02,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
192000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
221000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
289000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
298000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
299000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
320000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
389000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,03,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
412000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
420000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
490000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
500000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
500000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
520000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
589000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
620000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,27,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
632000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
690000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
699000,00000054,false,Rx,0,8,00,00,FE,FF,61,02,00,00,
699000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
700000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
721000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
