Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
508000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
518000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
518000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
518000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
519000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
537000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,60,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
548000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
588000,00000065,false,Rx,0,8,7D,02,01,00,00,00,00,00,
608000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
636000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
708000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,7D,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
719000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
719000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
736000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
738000,00000065,false,Rx,0,8,7D,02,01,00,00,00,00,00,
767000,000002C4,false,Rx,0,8,02,00,00,00,61,02,00,00,
767000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
767000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
809000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
837000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
888000,00000065,false,Rx,0,8,7D,02,01,00,00,00,00,00,
908000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
917000,00000054,false,Rx,0,8,00,00,FE,FF,7D,02,00,00,
918000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
918000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
918000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
937000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,61,02,00,00,
