Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
752000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
762000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
762000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
763000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
763000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
783000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
793000,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
823000,00000065,false,Rx,0,8,69,02,01,00,00,00,00,00,
852000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
881000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
952000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
962000,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
962000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
962000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
962000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
972000,00000065,false,Rx,0,8,69,02,01,00,00,00,00,00,
981000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
12000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
52000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
81000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
122000,00000065,false,Rx,0,8,69,02,01,00,00,00,00,00,
152000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
161000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
162000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
182000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
232000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
252000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
271000,00000065,false,Rx,0,8,69,02,01,00,00,00,00,00,
281000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
352000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
362000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
363000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
381000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
452000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
0,000002C4,false,Rx,0,8,02,00,00,00,28,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
481000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
551000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
562000,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
562000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
562000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
562000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
582000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
652000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
672000,000002C4,false,Rx,0,8,03,00,00,00,28,02,00,00,
673000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
673000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
681000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
751000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
761000,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
762000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
781000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
852000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
881000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
893000,000002C4,false,Rx,0,8,03,00,00,00,29,02,00,00,
893000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
893000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
952000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
962000,00000054,false,Rx,0,8,00,00,FE,FF,6A,02,00,00,
962000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
962000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
962000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
981000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
51000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
