Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
331000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
341000,00000054,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
341000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
341000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
342000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
358000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,70,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
402000,00000065,false,Rx,0,8,BD,02,01,00,00,00,00,00,
432000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
457000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
530000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
540000,00000054,false,Rx,0,8,00,00,FE,FF,BF,02,00,00,
541000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
541000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
541000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
551000,00000065,false,Rx,0,8,BD,02,01,00,00,00,00,00,
557000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
588000,000002C4,false,Rx,0,8,02,00,00,00,70,02,00,00,
588000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
589000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
631000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
658000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
702000,00000065,false,Rx,0,8,BD,02,01,00,00,00,00,00,
730000,0000060D,false,Rx,0,8,0D,10,82,B6,09,20,70,00,
740000,00000054,false,Rx,0,8,00,00,FE,FF,BF,02,00,00,
740000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
