Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
88000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
99000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
99000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
100000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
100000,00000065,false,Rx,0,8,C2,02,03,00,00,00,00,00,
189000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
249000,00000065,false,Rx,0,8,C2,02,03,00,00,00,00,00,
288000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
300000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
326000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
337000,000002C4,false,Rx,0,8,02,00,00,00,96,02,00,00,
337000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
337000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
388000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
398000,00000065,false,Rx,0,8,C2,02,03,00,00,00,00,00,
425000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
488000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
498000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
498000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
498000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
498000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
525000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
548000,00000065,false,Rx,0,8,C2,02,03,00,00,00,00,00,
556000,000002C4,false,Rx,0,8,02,00,00,00,96,02,00,00,
556000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
556000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
589000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
625000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
689000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
699000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
699000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
699000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
699000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
725000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,02,00,00,00,96,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
777000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
789000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
825000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
887000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
898000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
898000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
898000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
898000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
926000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
988000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
996000,000002C4,false,Rx,0,8,02,00,00,00,97,02,00,00,
996000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
997000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
25000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
88000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
125000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
189000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
216000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
216000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
216000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
225000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
287000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
0,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
325000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
388000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
425000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
436000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
436000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
436000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
488000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
499000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
499000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
525000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
587000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
625000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
689000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
698000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
698000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
698000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
699000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
726000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
790000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
826000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
0,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
0,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
0,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
888000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
898000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
898000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
899000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
899000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
926000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
988000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
25000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
88000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
97000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
97000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
97000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
98000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
98000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
98000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
98000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
125000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
188000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
225000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
288000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
298000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
298000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
298000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
299000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
317000,000002C4,false,Rx,0,8,03,00,00,00,97,02,00,00,
317000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
317000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
326000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
387000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
425000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
488000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
497000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
499000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
499000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
499000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
525000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
537000,000002C4,false,Rx,0,8,03,00,00,00,98,02,00,00,
537000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
537000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
588000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
625000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
688000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
698000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
698000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
698000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
698000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
725000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
756000,000002C4,false,Rx,0,8,03,00,00,00,98,02,00,00,
757000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
757000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
789000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
825000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
887000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
898000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
898000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
898000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
899000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
926000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
976000,000002C4,false,Rx,0,8,03,00,00,00,98,02,00,00,
976000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
976000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
988000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
25000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
88000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
98000,00000054,false,Rx,0,8,00,00,FE,FF,C2,02,00,00,
98000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
98000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
99000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
125000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
