Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
370000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
381000,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
381000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
381000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
382000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
382000,00000065,false,Rx,0,8,CB,02,01,00,00,00,00,00,
471000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
531000,00000065,false,Rx,0,8,CB,02,01,00,00,00,00,00,
571000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
580000,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
581000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
581000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
581000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
608000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
619000,000002C4,false,Rx,0,8,02,00,00,00,C5,02,00,00,
619000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
619000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
670000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
680000,00000065,false,Rx,0,8,CB,02,01,00,00,00,00,00,
708000,00000625,false,Rx,0,8,25,00,58,86,01,54,5C,06,
770000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
779000,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
781000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
781000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
782000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
808000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
830000,00000065,false,Rx,0,8,CB,02,01,00,00,00,00,00,
838000,000002C4,false,Rx,0,8,02,00,00,00,C5,02,00,00,
839000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
839000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
870000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
908000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
970000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
0,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
0,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
981000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
981000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
8000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
59000,000002C4,false,Rx,0,8,02,00,00,00,C5,02,00,00,
59000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
59000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
70000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
107000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
170000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
181000,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
181000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
181000,00000056,false,Rx,0,8,10,27,00,00,00,00,00,00,
181000,00000057,false,Rx,0,8,00,00,FE,FF,FE,FF,00,00,
207000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
270000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
279000,000002C4,false,Rx,0,8,02,00,00,00,C6,02,00,00,
279000,000002C5,false,Rx,0,8,00,00,00,00,00,00,00,00,
279000,000002C6,false,Rx,0,8,32,00,7C,01,00,00,00,00,
307000,00000625,false,Rx,0,8,25,00,59,86,01,54,5C,06,
370000,0000060D,false,Rx,0,8,0D,10,83,B6,09,20,70,00,
380000,00000054,false,Rx,0,8,00,00,FE,FF,CB,02,00,00,
380000,00000055,false,Rx,0,8,10,27,00,00,00,00,00,00,
